,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Gentlemen,(2019),113 min,8.0,51        ,"79,667",-
1,Knives Out,(2019),131 min,8.0,82        ,"253,136",$165.36M
2,1917,(2019),119 min,8.4,78        ,"259,654",$159.18M
3,Parasite,(2019),132 min,8.6,96        ,"344,120",$53.37M
4,Once Upon a Time... in Hollywood,(2019),161 min,7.7,83        ,"424,667",$142.50M
5,Jojo Rabbit,(2019),108 min,7.9,58        ,"181,296",$0.35M
6,Joker,(2019),122 min,8.5,59        ,"736,818",$335.45M
7,Ford v Ferrari,(2019),152 min,8.1,81        ,"185,909",$117.62M
8,Little Women,(2019),135 min,7.9,91        ,"84,582",$108.05M
9,The Shawshank Redemption,(1994),142 min,9.3,80        ,"2,210,625",$28.34M
10,Avengers: Endgame,(2019),181 min,8.4,78        ,"688,570",$858.37M
11,The Irishman,(2019),209 min,7.9,94        ,"267,927",-
12,The Godfather,(1972),175 min,9.2,100        ,"1,522,744",$134.97M
13,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        ,"600,453",$317.58M
14,Inception,(2010),148 min,8.8,74        ,"1,938,417",$292.58M
15,The Lighthouse,(I) (2019),109 min,7.7,83        ,"88,900",$0.43M
16,Toy Story 4,(2019),100 min,7.8,84        ,"169,350",$434.04M
17,Blade Runner 2049,(2017),164 min,8.0,81        ,"420,687",$92.05M
18,The Dark Knight,(2008),152 min,9.0,84        ,"2,189,196",$534.86M
19,Pulp Fiction,(1994),154 min,8.9,94        ,"1,735,886",$107.93M
20,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,581,404",$315.54M
21,Interstellar,(2014),169 min,8.6,74        ,"1,391,165",$188.02M
22,28 Days Later...,(2002),113 min,7.6,73        ,"360,886",$45.06M
23,Green Book,(2018),130 min,8.2,69        ,"304,920",$85.08M
24,Marriage Story,(2019),137 min,8.0,93        ,"197,115",-
25,Goodfellas,(1990),146 min,8.7,90        ,"962,424",$46.84M
26,12 Monkeys,(1995),129 min,8.0,74        ,"557,478",$57.14M
27,Forrest Gump,(1994),142 min,8.8,82        ,"1,705,996",$330.25M
28,Fight Club,(1999),139 min,8.8,66        ,"1,764,104",$37.03M
29,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,193,593",$120.54M
30,The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,100,806",$116.90M
31,Gone Girl,(2014),149 min,8.1,79        ,"806,234",$167.77M
32,Good Will Hunting,(1997),126 min,8.3,70        ,"811,980",$138.43M
33,The Shining,(1980),146 min,8.4,66        ,"842,288",$44.02M
34,Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,003,227",$333.18M
35,Call Me by Your Name,(2017),132 min,7.9,93        ,"182,986",$18.10M
36,The Matrix,(1999),136 min,8.7,73        ,"1,590,384",$171.48M
37,Avengers: Infinity War,(2018),149 min,8.5,68        ,"758,024",$678.82M
38,Titanic,(1997),194 min,7.8,75        ,"999,588",$659.33M
39,Django Unchained,(2012),165 min,8.4,81        ,"1,279,885",$162.81M
40,The Invisible Guest,(2016),106 min,8.1,-,"108,024",-
41,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"514,658",$290.01M
42,Shutter Island,(2010),138 min,8.1,63        ,"1,062,756",$128.01M
43,Portrait of a Lady on Fire,(2019),122 min,8.2,95        ,"26,911",-
44,Gladiator,(2000),155 min,8.5,67        ,"1,275,201",$187.71M
45,Se7en,(1995),127 min,8.6,65        ,"1,361,833",$100.13M
46,Mad Max: Fury Road,(2015),120 min,8.1,90        ,"827,711",$154.06M
47,The Departed,(2006),151 min,8.5,85        ,"1,129,759",$132.38M
48,Prisoners,(2013),153 min,8.1,71        ,"560,302",$61.00M
49,The Prestige,(2006),130 min,8.5,66        ,"1,121,012",$53.09M
